ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Capital Area Food Bank,,publish,1,gd_place,,,"20017,Washington,DC",",6,",6,0,4900 Puerto Rico Ave NE,,Washington,DC,United States,20017,38.9473003,-76.9994569,(202) 644-9800,,,,,,,,
,Refuge Of Hope Outreach Ctr,,publish,1,gd_place,,,"20002,Washington,DC",",6,",6,0,10 P St NE,,Washington,DC,United States,20002,38.90972,-77.0086631,(202) 526-2440,,,,,,,,
,Salvation Army Sherman Avenue,,publish,1,gd_place,,,"20010,Washington,DC",",6,",6,0,3335 Sherman Ave NW,,Washington,DC,United States,20010,38.9315816,-77.0263815,(202) 829-0100,,,,,,,,
