ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Bay Shore Food Pantry In Mltn,,publish,1,gd_place,,,"19968,Milton,DE",",6,",6,0,113 Union St,,Milton,DE,United States,19968,38.7784483,-75.3106517,(302) 329-9872,,,,,,,,
,Cape Henlopen Food Basket,,publish,1,gd_place,,,"19971,Rehoboth Beach,DE",",6,",6,0,37510 Oyster House Rd,,Rehoboth Beach,DE,United States,19971,38.7101773,-75.0945354,(302) 227-3528,,,,,,,,
,Faith Works Inc,,publish,1,gd_place,,,"19938,Clayton,DE",",6,",6,0,74 Stirrup Rd,,Clayton,DE,United States,19938,39.2675285,-75.6595613,(302) 670-8080,,,,,,,,
,Food Bank Of Delaware,,publish,1,gd_place,,,"19963,Milford,DE",",6,",6,0,1041 Mattlind Way,,Milford,DE,United States,19963,38.9293746,-75.4456179,(302) 424-4976,,,,,,,,
,Food Bank Of Delaware Inc,,publish,1,gd_place,,,"19702,Newark,DE",",6,",6,0,222 Lake Dr,,Newark,DE,United States,19702,39.612678,-75.755281,(302) 292-1305,,,,,,,,
,Holy Family Parish,,publish,1,gd_place,,,"19713,Newark,DE",",6,",6,0,15 Gender Rd,,Newark,DE,United States,19713,39.6646886,-75.7194347,(302) 368-4665,,,,,,,,
,Ocean View Church Of Christ,,publish,1,gd_place,,,"19970,Ocean View,DE",",6,",6,0,55 West Ave,,Ocean View,DE,United States,19970,38.5445969,-75.0888168,(302) 539-7468,,,,,,,,
,Our Daily Bread,,publish,1,gd_place,,,"19709,Middletown,DE",",6,",6,0,214 N Broad St,,Middletown,DE,United States,19709,39.4512563,-75.7172614,(302) 285-9540,,,,,,,,
